1	s0001f889-2729-45cc-97c1-677918fc5bf7	s99763983-e982-4248-af93-074eb69c638f			
2	s0001f889-2729-45cc-97c1-677918fc5bf7	sa2cf7655-81af-4c7e-86e4-878e3e9d2b80			
3	s0001f889-2729-45cc-97c1-677918fc5bf7	sf56d1dc1-a152-427c-8336-4dde2ce58d50		PATO:0000462 Score:[1.0]	
4	s0249fceb-503a-41ff-b9eb-4ed591b95c15	s47a31a90-71eb-4bb9-a1de-626f44e13280	UBERON:0003113 Score:[1.0]	PATO:0000462 Score:[1.0]	
5	s0249fceb-503a-41ff-b9eb-4ed591b95c15	s63d508d0-0750-4a89-be36-9d5886a5a136	UBERON:0003113 Score:[1.0]		
6	s0249fceb-503a-41ff-b9eb-4ed591b95c15	sb0ec8a6e-8ff2-4b9b-af52-291263e0c481	UBERON:0003113 Score:[1.0]		
7	s03007b69-6d1e-4534-a5be-597028292b37	s7ce5d0a8-b3e2-4a17-a3d9-4b4633347b14			
8	s03007b69-6d1e-4534-a5be-597028292b37	s9877ec21-9fbe-409c-bb95-f73bbd9d762b			
9	s05910a07-d271-4579-9492-acf763f50d9a	s71859aac-c1f7-45b7-986a-d6c0b76df64b	"UBERON:3000645 and (BFO:0000050 some UBERON:0001092) Score:[1.0]@,UBERON:0001075 and (BFO:0000050 some UBERON:0001092) Score:[1.0]"		
10	s05910a07-d271-4579-9492-acf763f50d9a	s8b0e8314-85c6-4017-a06d-1475fa7b2af2	"UBERON:3000645 and (BFO:0000050 some UBERON:0001092) Score:[1.0]@,UBERON:0001075 and (BFO:0000050 some UBERON:0001092) Score:[1.0]"	PATO:0000573 Score:[1.0]	
11	s05910a07-d271-4579-9492-acf763f50d9a	saf0b3e21-1a03-4580-b902-23155dc56d75	"UBERON:3000645 and (BFO:0000050 some UBERON:0001092) Score:[1.0]@,UBERON:0001075 and (BFO:0000050 some UBERON:0001092) Score:[1.0]"	PATO:0000117 Score:[1.0]	
12	s06062b08-073b-465e-bd9b-1a0a926f23ff	s38f777a4-3155-42f9-81db-24259f6afc19	UBERON:0010202 Score:[1.0]	PATO:0000467 Score:[1.0]	
13	s06062b08-073b-465e-bd9b-1a0a926f23ff	scdc59638-73a2-4f85-b0b6-9514bffcb5b5	UBERON:0010202 Score:[1.0]	PATO:0000462 Score:[1.0]	
14	s0628bcda-c5f7-4613-a1e3-c4e4452a441a	s57dc7afd-55a0-4fad-9178-d5fc7920a93e	UBERON:0002221 Score:[1.0]	PATO:0000462 Score:[1.0]	
15	s0628bcda-c5f7-4613-a1e3-c4e4452a441a	sf05a8dd7-3dc4-4fe9-a4af-dc7287c1b35a	UBERON:0002221 Score:[1.0]	PATO:0000467 Score:[1.0]	
16	s0b19ccc6-1944-4183-a029-f6bd8251ff9e	s84786279-c6d5-498a-a3a1-84b5ea384c44	UBERON:0001300 Score:[1.0]	PATO:0002259 Score:[1.0]	UBERON:0000989 Score:[1.0]
17	s0b19ccc6-1944-4183-a029-f6bd8251ff9e	s84786279-c6d5-498a-a3a1-84b5ea384c44		PATO:0000462 Score:[1.0]	
